submission_id,age,displayed_sentence,gender,itemname,list_assignment,startDate,time_spent,pejorative_type,action,pejorative_word,response
969167,34,<!-- female --><!-- COI_neg --><q>That jerk Owen never contributes ideas during brainstorming sessions!</q>,female,Item17,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),2259,COI,neg,jerk,Individual
969167,34,<!-- female --><!-- COI_neutral --><q>That douchebag James has a brother who lives in Boston!</q>,female,Item7,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),695,COI,neutral,douchebag,Individual
969167,34,<!-- male --><!-- COI_promisc --><q>That douchebag Thomas wears tight clothes to distract people in meetings!</q>,female,Item24,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),517,COI,promisc,douchebag,Individual
969167,34,<!-- male --><!-- GOI_neutral --><q>That whore Audrey studied psychology in college!</q>,female,Item22,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),864,GOI,neutral,whore,Group
969167,34,<!-- male --><!-- COI_promisc --><q>That douche Kevin brags about his sexual adventures to everyone!</q>,female,Item6,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),1228,COI,promisc,douche,Individual
969167,34,<!-- male --><!-- COI_promisc --><q>That dick William wore an extremely revealing outfit to the professional event!</q>,female,Item12,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),766,COI,promisc,dick,Individual
969167,34,<!-- male --><!-- COI_promisc --><q>That jerk Alex is always trying to seduce his coworkers' partners!</q>,female,Item18,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),4007,COI,promisc,jerk,Individual
969167,34,<!-- female --><!-- COI_neutral --><q>That prick Lucas brings lunch from home most days!</q>,female,Item13,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),680,COI,neutral,prick,Individual
969167,34,<!-- female --><!-- COI_neutral --><q>That asshole Christopher drinks tea instead of coffee!</q>,female,Item19,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),546,COI,neutral,asshole,Individual
969167,34,<!-- female --><!-- GOI_promisc --><q>That cunt Michelle went home with three different men this month!</q>,female,Item9,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),812,GOI,promisc,cunt,Individual
