submission_id,age,displayed_sentence,education,endTime,experiment_id,face_image,gender,itemname,languages,list_assignment,prolific,selected_option,startDate,startTime,timeSpent,time_spent,trial_name,trial_number,face_type,target_gender,pejorative,token
435,37,<!-- female --><!-- female_target --><!-- GOI --><q>That bitch Charlotte cancelled the meeting at the last minute!</q>,university degree,1751553904509,12,female_face/female_outline6.png,female,Item11,English,C,6751acc5dc78128951a34f1f,5,Thu Jul 03 2025 10:41:34 GMT-0400 (Eastern Daylight Time),1751553694974,3.49225,3980,spr_test,2,female,female_target,GOI,bitch
435,37,<!-- male --><!-- male_target --><!-- COI --><q>That prick Cameron sabotaged another team's presentation!</q>,university degree,1751553904509,12,male_face/male_outline22.png,female,Item22,English,C,6751acc5dc78128951a34f1f,5,Thu Jul 03 2025 10:41:34 GMT-0400 (Eastern Daylight Time),1751553694974,3.49225,4734,spr_test,5,male,male_target,COI,prick
435,37,<!-- male --><!-- female_target --><!-- COI --><q>That jerk Sophie never follows proper protocol for expense reports!</q>,university degree,1751553904509,12,male_face/male_outline20.png,female,Item24,English,C,6751acc5dc78128951a34f1f,6,Thu Jul 03 2025 10:41:34 GMT-0400 (Eastern Daylight Time),1751553694974,3.49225,4947,spr_test,7,male,female_target,COI,jerk
435,37,<!-- male --><!-- male_target --><!-- COI --><q>That jerk Alex constantly ignores everyone's feedback!</q>,university degree,1751553904509,12,male_face/male_outline23.png,female,Item18,English,C,6751acc5dc78128951a34f1f,6,Thu Jul 03 2025 10:41:34 GMT-0400 (Eastern Daylight Time),1751553694974,3.49225,4365,spr_test,8,male,male_target,COI,jerk
435,37,<!-- male --><!-- female_target --><!-- COI --><q>That douchebag Natalie raised her voice at the client during the meeting!</q>,university degree,1751553904509,12,male_face/male_outline24.png,female,Item20,English,C,6751acc5dc78128951a34f1f,6,Thu Jul 03 2025 10:41:34 GMT-0400 (Eastern Daylight Time),1751553694974,3.49225,3631,spr_test,13,male,female_target,COI,douchebag
435,37,<!-- female --><!-- female_target --><!-- GOI --><q>That cunt Jessica constantly takes credit for other people's ideas!</q>,university degree,1751553904509,12,female_face/female_outline1.png,female,Item3,English,C,6751acc5dc78128951a34f1f,6,Thu Jul 03 2025 10:41:34 GMT-0400 (Eastern Daylight Time),1751553694974,3.49225,3513,spr_test,14,female,female_target,GOI,cunt
435,37,<!-- male --><!-- male_target --><!-- COI --><q>That prick Michael never gives credit when using other people's ideas!</q>,university degree,1751553904509,12,male_face/male_outline7.png,female,Item10,English,C,6751acc5dc78128951a34f1f,6,Thu Jul 03 2025 10:41:34 GMT-0400 (Eastern Daylight Time),1751553694974,3.49225,6546,spr_test,16,male,male_target,COI,prick
435,37,<!-- female --><!-- male_target --><!-- GOI --><q>That slut Tyler stole money from the department budget!</q>,university degree,1751553904509,12,female_face/female_outline3.png,female,Item5,English,C,6751acc5dc78128951a34f1f,6,Thu Jul 03 2025 10:41:34 GMT-0400 (Eastern Daylight Time),1751553694974,3.49225,5596,spr_test,17,female,male_target,GOI,slut
435,37,<!-- female --><!-- male_target --><!-- GOI --><q>That whore Lucas takes all the credit for our group project!</q>,university degree,1751553904509,12,female_face/female_outline4.png,female,Item13,English,C,6751acc5dc78128951a34f1f,6,Thu Jul 03 2025 10:41:34 GMT-0400 (Eastern Daylight Time),1751553694974,3.49225,3698,spr_test,18,female,male_target,GOI,whore
435,37,<!-- male --><!-- male_target --><!-- COI --><q>That dick Kevin refuses to share resources with the team!</q>,university degree,1751553904509,12,male_face/male_outline4.png,female,Item6,English,C,6751acc5dc78128951a34f1f,6,Thu Jul 03 2025 10:41:34 GMT-0400 (Eastern Daylight Time),1751553694974,3.49225,4048,spr_test,20,male,male_target,COI,dick
435,37,<!-- male --><!-- male_target --><!-- COI --><q>That prick Marcus always speaks over everyone in team meetings!</q>,university degree,1751553904509,12,male_face/male_outline24.png,female,Item2,English,C,6751acc5dc78128951a34f1f,6,Thu Jul 03 2025 10:41:34 GMT-0400 (Eastern Daylight Time),1751553694974,3.49225,3931,spr_test,22,male,male_target,COI,prick
