"words","inherent_valence"
"abomination",2.5
"academy",5.32
"administration",4.45
"advertisement",4.3
"agreement",6.75
"alley",4.17
"anklet",4.75
"announcer",5.84
"backpack",6.05
"badger",4.63
"balloon",6.84
"bandit",3.88
"battery",4.26
"bean",6
"beard",5.09
"biographer",5.53
"birdcage",5.2
"bishop",4.53
"blackmail",2.59
"blanket",7.05
"boss",4.76
"breather",5.95
"bridge",5.44
"brisket",5.6
"broom",5.5
"brother",6.18
"buffoon",3.95
"businesswoman",6.1
"cabbage",4.6
"cabin",5.9
"calamari",4.2
"chainsaw",4
"christmas",8.37
"classmate",5.95
"climax",7.53
"clue",5.38
"coach",5.72
"coffeepot",5.26
"colleague",5.26
"commitment",6.33
"competition",5.33
"compliment",7.24
"contender",5
"conviction",3.89
"cousin",6.11
"crybaby",2.95
"cue",5.84
"cult",2.77
"daisy",7.48
"debauchery",4.21
"demise",3
"depravity",3.05
"desert",5.36
"deserter",3.27
"destination",6.4
"destiny",6.73
"disciple",4.67
"discrimination",2.45
"disgrace",2.45
"dismissal",4.05
"disorder",3.76
"dream",7.43
"dryer",5.21
"effort",6.47
"employment",6
"error",3.36
"espresso",6.68
"evacuation",4.23
"exterminator",3.19
"fascination",7.25
"feedback",5.91
"feminist",4.26
"finalist",6.24
"flask",5.5
"florist",6.55
"folly",4.11
"gambler",4.15
"gatekeeper",5.4
"general",5.32
"geometry",4.57
"goal",6.79
"grapevine",5.9
"greenhouse",6.4
"groom",6.84
"gunshot",2.79
"hammer",5.17
"hellhole",2.1
"household",6.67
"ideology",5.52
"implosion",3.32
"inheritance",6.8
"insolence",3.5
"interpretation",5.6
"jackass",4.05
"jacket",5.86
"lackey",4.32
"laptop",6.95
"law",4.55
"leather",5.84
"leniency",5.8
"liability",3.45
"librarian",6.38
"library",6.33
"liqueur",4.74
"lobbyist",3.32
"logo",5.53
"loss",2.9
"lotion",5.52
"loudspeaker",4.67
"mattress",5.74
"meltdown",3.05
"menace",3.13
"mind",6.7
"mirror",5.9
"moustache",5.35
"nail gun",4.09
"newsflash",5.26
"oppression",2.67
"outburst",4.15
"outcast",2.86
"outpost",4.67
"output",4.85
"paramedic",5.16
"payout",6.58
"perpetrator",3.52
"persistence",6.21
"pinch",3.5
"planet",6.27
"playmate",7.3
"porcelain",6.14
"porcupine",6.38
"preference",6.16
"pretext",4.61
"provocation",3.89
"publicity",4.89
"pumpkin",7
"quiz",4.53
"rash",3.15
"reception",6
"recitation",4.55
"recovery",6.43
"recruiter",5.56
"redhead",6.71
"reminder",6
"renegade",4.53
"resource",5.63
"retard",3.28
"reviewer",5.16
"revival",6.38
"role",5.1
"ruckus",4.35
"salary",6.42
"sanatorium",3.33
"satellite",5.56
"scanner",5.57
"sentence",5.13
"setup",4.35
"shed",5.37
"shoreline",6.29
"showgirl",5.38
"sickle",3.95
"siren",3.8
"sisterhood",5.68
"slander",2.45
"smoke",3.44
"smuggler",3.45
"specialty",5.48
"sport",6.95
"sportswriter",5.71
"squash",4.28
"stalker",2.55
"starlight",7.68
"steam",5.4
"stepmother",3.67
"subject",5.33
"surname",5.1
"swindler",2.33
"syndrome",4.33
"takeoff",5.5
"tempest",4.52
"terrace",5.33
"thinker",7.26
"thunderbolt",5.63
"toothache",2.32
"toothbrush",5.58
"top",6
"trace",4.74
"traffic",2.18
"treasury",5.8
"trench",4.43
"twinkle",6.26
"unrest",2.63
"use",5.18
"vigilante",4.75
"voucher",5.67
"wallop",4.05
"warehouse",4.43
"wasteland",3.05
"whirlwind",4.62
"witch",3.14
